OBJECTID_1,YearAnnexed_num,majorTreeType,inGreenwayBuffer
891,1965,Locust,1
892,1965,Locust,1
893,1965,Locust,1
894,1965,Locust,1
895,1965,Locust,1
896,1965,Pine,1
897,1965,Locust,1
898,1965,Fir,1
899,1965,Fir,1
900,1965,Locust,1
901,1965,Locust,0
902,1965,Maple,1
903,1965,Ash,1
904,1967,Oak,1
905,1965,Ash,1
906,1965,Oak,1
907,1965,Ash,1
908,1965,Cherry,1
909,1965,Cottonwood,1
910,1965,Maple,1
911,1965,Spruce,1
912,1965,Pine,1
913,1965,Spruce,1
914,1965,Locust,1
915,1965,Catalpa,1
916,1965,Hackberry,1
917,1965,Ash,1
918,1965,Ash,1
919,1965,Oak,1
920,1967,Hackberry,1
921,1967,Spruce,1
922,1967,Spruce,1
923,1962,Oak,1
924,1962,Spruce,1
925,1965,Spruce,1
926,1965,Pine,1
927,1965,Pine,1
928,1965,Spruce,1
929,1965,Elm,1
930,1965,Ash,1
931,1965,Hackberry,1
932,1965,Maple,1
933,1965,Ash,1
934,1965,Spruce,1
935,1965,Spruce,1
936,1965,Spruce,1
937,1965,Locust,1
938,1965,Spruce,1
939,1965,Spruce,1
940,1965,Spruce,1
941,1965,Spruce,1
942,1965,Hackberry,1
943,1960,Apple,1
944,1960,Locust,0
945,1960,Apple,0
946,1960,Apple,0
947,1965,Ash,0
948,1959,Cottonwood,0
949,1959,Cherry,0
950,1965,Ash,0
951,1965,Locust,1
952,1965,Apple,1
953,1965,Ash,1
954,1965,Willow,1
955,1965,Willow,1
956,1965,Willow,1
957,1965,Willow,1
958,1965,Willow,1
959,1965,Willow,1
960,1965,Willow,1
961,1969,Pine,1
962,1970,Maple,1
963,1970,Spruce,1
964,1970,Willow,1
965,1970,Pine,1
966,1970,Apple,1
967,1970,Apple,1
968,1970,Oak,0
969,1970,Oak,0
970,1970,Pine,0
971,1970,Spruce,0
972,1970,Spruce,0
973,1970,Ash,0
974,1969,Spruce,0
975,1969,Spruce,0
976,1969,Spruce,0
977,1969,Spruce,0
978,1969,Spruce,0
979,1970,Spruce,0
980,1970,Ash,0
981,1970,Apple,1
982,1970,Linden,1
983,1970,Ash,1
984,1970,Cherry,0
985,1970,Cherry,1
986,1970,Ash,1
987,1970,Maple,1
988,1970,Locust,1
989,1970,Ash,1
990,1970,Linden,1
991,1970,Ash,1
992,1970,Spruce,1
993,1970,Locust,1
994,1970,Pine,1
995,1969,,1
996,1969,Spruce,1
997,1969,Cottonwood,1
998,1979,Spruce,0
999,1970,Cottonwood,0
1000,1970,Spruce,0
1001,1970,Pine,0
1002,1970,Pine,0
1003,1970,Spruce,0
1004,1970,Pine,0
1005,1970,Pine,0
1006,1970,Hawthorn,0
1007,1970,Hawthorn,0
1008,1970,Coffee tree,0
1009,1970,Hawthorn,0
1010,1970,Linden,0
1011,1970,Ash,0
1012,1970,Spruce,0
1013,1970,Ash,0
1014,1970,Coffee tree,0
1015,1970,Pine,0
1016,1970,Pine,0
1017,1970,Plum,0
1018,1970,Plum,0
1019,1970,Pine,0
1020,1970,Locust,0
1021,1970,Locust,1
1022,1970,Locust,1
1023,1970,Pine,0
1024,1970,Spruce,0
1025,1970,Catalpa,0
1026,1970,Pine,0
1027,1970,Locust,0
1028,1970,Pine,0
1029,1963,Locust,0
1030,1963,Pine,0
1031,1963,Locust,0
1032,1963,Pine,1
1033,1963,Pine,1
1034,1963,Ash,1
1035,1963,Ash,1
1036,1970,Apple,0
1037,1970,Spruce,0
1038,1970,Juniper,0
1039,1970,Pine,0
1040,1970,Ash,0
1041,1970,Oak,0
1042,1970,,0
1043,1970,Ash,0
1044,1970,Oak,0
1045,1970,,0
1046,1970,Linden,0
1047,1970,Oak,0
1048,1970,Spruce,0
1049,1970,Cherry,0
1050,1970,Oak,0
1051,1970,Pine,0
1052,1970,Ash,0
1053,1970,Ash,0
1054,1970,Spruce,0
1055,1970,Locust,0
1056,1970,Coffee tree,0
1057,1970,Apple,0
1058,1970,Linden,0
1059,1970,Hackberry,0
1060,1970,Pine,0
1061,1970,Linden,0
